subject_age,Petty_theft,Soliciting,Drugs,Public_Intoxication,No_Insurance,No_Registration,Use_of_Phone,School_Zone_Speeding,No_License,Speeding
11,1,0,0,0,0,0,0,0,1,0
12,3,0,0,0,0,0,0,0,0,0
13,16,0,0,0,0,0,0,0,1,0
14,39,0,3,0,0,0,0,0,7,0
15,66,0,1,0,0,0,0,0,29,1
16,62,0,2,2,10,2,4,35,74,79
17,94,0,16,1,9,20,8,65,133,293
18,93,0,29,1,56,31,25,137,258,784
19,95,3,32,1,100,55,45,164,229,1346
20,85,2,42,2,116,82,69,176,209,1489
21,62,4,42,70,120,123,73,185,169,1510
22,68,8,39,75,115,136,73,187,158,1443
23,75,12,38,85,145,142,93,223,149,1466
24,70,11,35,103,103,144,103,193,166,1343
25,95,29,51,85,111,126,78,213,185,1297
26,83,48,52,100,117,161,108,211,188,1253
27,79,40,50,80,85,165,93,219,195,1197
28,77,30,74,81,99,137,115,202,174,1223
29,90,30,51,87,96,123,105,192,182,1085
30,92,56,65,80,81,124,109,189,157,1056
31,90,25,71,84,60,132,99,172,192,976
32,69,61,65,73,60,129,84,165,187,966
33,78,59,60,61,58,128,89,191,170,916
34,86,38,66,50,68,114,87,183,154,940
35,80,25,61,74,47,94,97,192,145,933
36,77,56,58,60,51,102,85,153,140,891
37,75,34,64,55,40,96,78,146,159,854
38,62,64,49,72,57,105,75,181,144,806
39,65,54,47,70,47,88,58,158,136,828
40,53,63,37,52,38,74,79,142,112,749
41,44,71,26,36,37,68,60,138,98,731
42,38,58,22,42,31,84,67,132,88,761
43,39,23,23,37,33,69,77,158,83,698
44,38,46,22,31,38,64,55,156,106,662
45,42,37,26,36,46,57,58,126,72,652
46,49,9,22,38,41,53,63,162,71,630
47,39,22,17,30,42,61,58,151,68,682
48,40,60,19,29,37,63,51,131,54,683
49,30,47,19,27,36,47,63,119,63,595
50,35,65,15,41,17,52,45,109,45,576
51,22,64,11,29,30,48,51,109,42,517
52,28,100,11,30,30,47,39,102,46,466
53,32,71,9,25,19,53,41,108,46,498
54,29,23,9,22,23,40,43,92,39,469
55,21,66,8,45,28,38,42,93,35,416
56,21,31,8,47,21,28,44,99,37,468
57,26,68,14,22,17,27,27,114,22,444
58,29,28,15,23,22,36,51,105,32,390
59,26,33,14,21,17,24,39,75,21,362
60,19,37,6,20,19,24,29,74,19,361
61,20,18,2,21,13,15,28,78,23,267
62,17,9,3,8,7,17,27,85,19,264
63,8,12,4,16,14,16,17,70,17,259
64,13,9,4,3,9,21,20,64,14,210
65,7,8,3,8,5,8,24,60,11,209
66,3,6,0,5,12,6,19,58,8,179
67,8,7,1,3,10,13,16,76,9,187
68,6,5,1,16,2,11,6,56,10,175
69,4,1,0,4,7,2,11,46,4,123
70,1,1,0,4,3,7,5,45,8,114
71,1,0,0,1,6,3,4,37,2,114
72,0,2,0,0,7,6,6,43,4,96
73,2,2,0,1,3,0,4,33,5,75
74,3,17,0,3,5,6,5,26,0,69
75,1,1,0,1,2,2,4,23,2,53
76,0,0,0,1,0,5,3,16,1,52
77,0,0,0,1,0,4,1,23,4,40
78,0,0,0,0,2,0,3,11,1,28
79,0,0,1,0,1,4,0,15,1,30
80,0,0,0,0,0,0,2,13,1,17
81,0,0,0,0,0,0,1,7,1,16
82,0,0,0,0,3,4,0,5,0,13
83,1,0,0,0,0,2,0,7,1,14
84,0,0,0,0,1,0,2,2,0,13
85,0,0,0,0,0,0,0,2,1,15
86,0,0,0,0,0,0,0,4,0,4
87,0,0,0,0,2,0,0,1,1,5
88,0,0,0,1,0,0,0,1,0,2
89,0,0,0,0,0,0,0,3,1,3
91,0,0,0,0,0,0,0,1,0,0
92,0,0,0,0,0,0,0,2,1,2
93,0,0,0,0,1,0,0,0,0,0
96,0,0,0,0,0,1,0,0,0,0
98,0,0,0,0,1,0,0,0,1,0
99,0,0,0,0,0,1,0,0,0,0
100,0,0,0,0,0,0,0,0,0,1
101,0,0,0,0,0,1,0,0,0,0
